Strategy (Launches/Day),Total Duration (Years),Total Cost (Billions),Rocket Cost Weight,Elevator Cost Weight,Finish Year,Rocket Cargo (%),SE Cargo (%)
0.026757536543761673,185.75,2.8548310683176497,0.989227593123623,0.010772406876374863,2235,0.2721723102158305,99.72782768978747
0.05959119936038926,185.16666666666666,5.668398354788032,0.994574601887753,0.005425398112248251,2235,0.6042547615143471,99.39574523848349
0.19320812559150657,182.66666666666666,16.808349425978903,0.9981703779351273,0.001829622064875828,2232,1.9326415594792077,98.06735844052156
0.292019700494198,180.83333333333334,26.675676862225483,0.9988471667077892,0.0011528332922133562,2230,2.8924999999989778,97.1075
0.5620812817690448,176.16666666666666,48.00485101853936,0.9993594053353686,0.0006405946646285742,2226,5.4223700211618215,94.57762997883991
0.7077371892378532,173.75,59.40176291855516,0.99948232074266,0.000517679257337652,2223,6.733659326425243,93.26634067357207
0.7354009798837899,173.25,62.016153178363275,0.999504146458767,0.0004958535412321807,2223,6.97656524591246,93.02343475409049
0.8522918643392178,171.33333333333334,71.28231147620332,0.9995686111581729,0.0004313888418306456,2221,7.996117042043931,92.00388295795806
0.9955201108749616,169.08333333333334,81.46001627943365,0.9996225179037873,0.0003774820962111655,2219,9.217271826563671,90.78272817343827
1.1148489336406764,167.25,91.6208561048427,0.9996643879022149,0.0003356120977820637,2217,10.209898019174863,89.79010198082585
1.3587867110319403,163.58333333333334,110.46245108279315,0.9997216463905628,0.00027835360943750335,2213,12.17099226739123,87.82900773260783
1.4223861728966143,162.66666666666666,115.19670768929532,0.9997330894417901,0.00026691055820910056,2212,12.669406999916259,87.33059300008543
1.7084639071772032,158.58333333333334,135.20840609875486,0.9997726090237568,0.00022739097624463575,2208,14.840749999999387,85.15925
1.9588818165083888,155.25,153.03245851291484,0.9997991069114268,0.00020089308857509873,2205,16.65176871350207,83.34823128650017
2.223442690262897,151.83333333333334,171.41757353856727,0.9998206675921971,0.00017933240780520815,2201,18.484813149769153,81.51518685023123
2.474752179021118,148.75,189.33606594585308,0.9998376530250482,0.00016234697495600434,2198,20.156485285300594,79.84351471470275
2.5106574192042372,148.25,191.54636158783092,0.9998395287758992,0.00016047122410474304,2198,20.38975000000175,79.61025000000001
2.756151606459306,145.41666666666666,208.3457248194319,0.9998524814880443,0.00014751851195587092,2195,21.94447909062901,78.0555209093715
2.9279395593124993,143.41666666666666,218.96788809232442,0.9998596479096916,0.00014035209030739378,2193,22.991645389501407,77.00835461049714
3.0249365036635805,142.33333333333334,225.43958609334376,0.9998636828354273,0.00013631716457399257,2192,23.574086407175812,76.42591359282554
3.1184635692732625,141.33333333333334,231.923952894871,0.9998674996488539,0.00013250035114522989,2191,24.131762561285903,75.86823743871189
3.3183737144614542,139.16666666666666,244.4664031347314,0.9998743099052414,0.00012569009476225118,2189,25.28600770419656,74.71399229580243
3.476239836538804,137.5,254.95995855977878,0.9998794930010936,0.00012050699890698966,2187,26.170350173407275,73.82964982659533
3.5380550206330357,136.83333333333334,259.2013523850379,0.9998814690350593,0.00011853096493992758,2186,26.520499999997256,73.4795
3.770978266200952,134.5,273.39985528373836,0.9998876396088168,0.00011236039118513352,2184,27.773499999998386,72.2265
3.796703744002494,134.25,274.71240076600947,0.9998881781346142,0.00011182186538365079,2184,27.90775000000029,72.09225
3.985702763034387,132.41666666666666,286.78306818136315,0.9998928972329291,0.00010710276706816317,2182,28.8955478914469,71.10445210855293
4.36322781071223,128.91666666666666,310.0432317382571,0.999900957582793,9.904241720819982e-05,2178,30.796752694960087,69.20324730504068
4.419849138641873,128.41666666666666,313.9646356458195,0.9999021985871793,9.780141282244126e-05,2178,31.074412346593327,68.92558765340733
4.612430214181898,126.66666666666667,324.43966087278324,0.9999053703603488,9.4629639648446e-05,2176,31.986972913839836,68.01302708615886
4.67730630047297,126.08333333333333,328.2405013669643,0.999906471013478,9.352898652519974e-05,2176,32.29325000000017,67.70675
4.8904803108061525,124.25,341.1460604369606,0.9999100250694336,8.997493056578997e-05,2174,33.277749999999294,66.72225
5.132756277150479,122.25,355.79798875629206,0.9999137485045348,8.62514954695273e-05,2172,34.352767849527105,65.64723215047263
5.509938551490575,119.25,377.30283857351475,0.9999186937443568,8.130625564337037e-05,2169,35.97135833647884,64.02864166352022
5.734466265901865,117.5,390.42110046995253,0.9999214442182301,7.855578176824687e-05,2167,36.90249999999968,63.0975
6.002354211910833,115.5,406.5474249893313,0.9999245826082324,7.541739177159215e-05,2165,37.97649999999846,62.0235
6.238037518618987,113.83333333333333,419.05222486359906,0.9999268528856506,7.31471143510869e-05,2163,38.87389030665419,61.1261096933457
6.644263057463839,111.0,440.68362360824773,0.9999304791816835,6.952081832067672e-05,2161,40.39299999999783,59.607
6.783622637574962,110.08333333333333,448.86198389892746,0.9999317583847096,6.824161528889014e-05,2160,40.88524999999862,59.11475000000001
7.247838224126912,107.08333333333333,473.5909532390914,0.9999353644580179,6.463554198232501e-05,2157,42.49625000000066,57.50375
7.655034445125151,104.58333333333333,495.73455880188277,0.9999382907498434,6.170925015672196e-05,2154,43.83875000000006,56.161249999999995
7.901036769030381,103.16666666666667,508.45243171535094,0.9999398580285113,6.0141971486882814e-05,2153,44.62229030861426,55.377709691384524
7.937689371193404,102.91666666666667,511.3497597976302,0.9999402031210121,5.9796878986037955e-05,2152,44.73375000000088,55.26624999999999
8.296219894293849,100.91666666666667,529.3267566505149,0.9999422695337928,5.773046620475779e-05,2150,45.82997794005823,54.17002205994101
